"ISO","year","MatMor","InfMor","NeoMor","Under5Mor"
"AFG","1964",NA,225.3,NA,335.1
"AFG","1965",NA,221.5,NA,329.8
"AFG","1966",NA,217.7,NA,324.4
"AFG","1967",NA,213.8,NA,318.8
"AFG","1968",NA,209.9,NA,313.3
"AFG","1969",NA,206.2,NA,307.9
"AFG","1970",NA,202.2,NA,302.1
"AFG","1971",NA,198.4,NA,296.6
"AFG","1972",NA,194.5,NA,291
"AFG","1973",NA,190.7,NA,285.4
"AFG","1974",NA,186.7,NA,279.6
"AFG","1975",NA,182.7,NA,273.8
"AFG","1976",NA,178.8,NA,268
"AFG","1977",NA,174.9,NA,262.1
"AFG","1978",NA,170.8,NA,256
"AFG","1979",NA,166.5,NA,249.7
"AFG","1980",NA,162.4,NA,243.6
"AFG","1981",NA,158.2,NA,237.2
"AFG","1982",NA,153.9,NA,230.7
"AFG","1983",NA,149.6,NA,224.2
"AFG","1984",NA,145.4,NA,217.5
"AFG","1985",NA,141.3,NA,210.9
"AFG","1986",NA,137.2,NA,204.4
"AFG","1987",NA,133,78.9,197.7
"AFG","1988",NA,128.9,77.3,191.2
"AFG","1989",NA,124.8,75.9,184.7
"AFG","1990",NA,120.8,74.3,178.4
"AFG","1991",NA,117.1,72.8,172.2
"AFG","1992",NA,113.5,71.3,166.3
"AFG","1993",NA,110.1,69.8,160.7
"AFG","1994",NA,106.9,68.4,155.5
"AFG","1995",NA,103.9,67,150.6
"AFG","1996",NA,101,65.7,146
"AFG","1997",NA,98.2,64.4,141.5
"AFG","1998",NA,95.6,63.2,137.3
"AFG","1999",NA,93,62.1,133.2
"AFG","2000",1450,90.5,60.9,129.2
"AFG","2001",1390,87.9,59.7,125.2
"AFG","2002",1300,85.3,58.5,121.1
"AFG","2003",1240,82.7,57.2,116.9
"AFG","2004",1180,80,55.9,112.6
"AFG","2005",1140,77.3,54.6,108.4
"AFG","2006",1120,74.6,53.2,104.1
"AFG","2007",1090,71.9,51.7,99.9
"AFG","2008",1030,69.2,50.3,95.7
"AFG","2009",993,66.7,48.9,91.7
"AFG","2010",954,64.2,47.4,87.8
"AFG","2011",905,61.8,46,84
"AFG","2012",858,59.5,44.6,80.3
"AFG","2013",810,57.3,43.2,76.9
"AFG","2014",786,55.2,41.9,73.6
"AFG","2015",701,53.2,40.5,70.4
"AFG","2016",673,51.3,39.3,67.5
"AFG","2017",638,49.5,38.2,64.8
"AFG","2018",NA,47.9,37.2,62.3
"AFG","2019",NA,46.4,36.1,60.1
"AFG","2020",NA,45,35.2,58
"AFG","2021",NA,NA,NA,NA
NA,"1960",NA,NA,NA,NA
NA,"1961",NA,NA,NA,NA
NA,"1962",NA,NA,NA,NA
NA,"1963",NA,NA,NA,NA
NA,"1964",NA,NA,NA,NA
NA,"1965",NA,NA,NA,NA
NA,"1966",NA,NA,NA,NA
NA,"1967",NA,NA,NA,NA
NA,"1968",NA,NA,NA,NA
NA,"1969",NA,NA,NA,NA
NA,"1970",NA,NA,NA,NA
NA,"1971",NA,NA,NA,NA
NA,"1972",NA,NA,NA,NA
NA,"1973",NA,NA,NA,NA
NA,"1974",NA,NA,NA,NA
NA,"1975",NA,NA,NA,NA
NA,"1976",NA,NA,NA,NA
NA,"1977",NA,NA,NA,NA
NA,"1978",NA,NA,NA,NA
NA,"1979",NA,NA,NA,NA
NA,"1980",NA,NA,NA,NA
NA,"1981",NA,NA,NA,NA
NA,"1982",NA,NA,NA,NA
NA,"1983",NA,NA,NA,NA
NA,"1984",NA,NA,NA,NA
NA,"1985",NA,NA,NA,NA
NA,"1986",NA,NA,NA,NA
NA,"1987",NA,NA,NA,NA
NA,"1988",NA,NA,NA,NA
NA,"1989",NA,NA,NA,NA
NA,"1990",NA,113.7182399,49.3385665,198.0836867
NA,"1991",NA,112.9600793,48.96118018,196.6009915
NA,"1992",NA,112.1811628,48.6976731,195.0409914
NA,"1993",NA,111.3193363,48.44827114,193.3972504
NA,"1994",NA,110.3329117,48.12707052,191.4465908
NA,"1995",NA,109.1392157,47.72239968,189.01929
NA,"1996",NA,107.6886993,47.24722024,186.1701202
NA,"1997",NA,105.9446557,46.62624956,182.7122364
NA,"1998",NA,103.8841599,45.8482107,178.74312
NA,"1999",NA,101.6217748,44.93692624,174.259893
NA,"2000",1000,99.16617376,43.95216135,169.4711147
NA,"2001",987,96.5793404,42.90921397,164.3553376
NA,"2002",973,93.92350562,41.84866308,158.9838056
NA,"2003",954,91.2442253,40.86544028,153.6297794
NA,"2004",924,88.57660878,39.90788885,148.2783528
NA,"2005",890,86.0171123,39.00919165,143.1011193
NA,"2006",858,83.53945121,38.21358493,138.1644716
NA,"2007",834,81.17597055,37.51933436,133.4750447
NA,"2008",821,79.00153677,36.88893011,129.1176461
NA,"2009",810,77.02490628,36.26164215,125.0638226
NA,"2010",798,75.16024311,35.69794091,121.38325
NA,"2011",789,73.5080295,35.19385313,118.0393257
NA,"2012",778,71.96530018,34.74189555,114.9971079
NA,"2013",767,70.55418322,34.35797657,112.1911899
NA,"2014",758,69.24899712,33.95211279,109.6962866
NA,"2015",744,68.00160289,33.57905619,107.2916927
NA,"2016",729,66.67483055,33.16771618,104.637694
NA,"2017",717,65.31384172,32.72579699,102.0320864
NA,"2018",NA,63.87577856,32.21974168,99.29113974
NA,"2019",NA,62.35233279,31.73890801,96.49428924
NA,"2020",NA,60.77764289,31.25205305,93.62702321
NA,"2021",NA,NA,NA,NA
"AGO","1960",NA,NA,NA,NA
